Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Slovak Rep.,-0.07616533,-0.325219777,-0.520010196,1.311945882,2.514037129,2.664561334,1.936941267,3.149606299,12.77414636,10.53194766
"Slovenia, Rep. of",0.199343827,-0.525552286,-0.054999542,1.429107433,1.73860862,1.630522608,-0.054856816,1.917065061,8.833698867,7.446877174
Solomon Islands,,-0.574469286,0.512485626,0.48868676,3.46147485,1.63485544,2.963549921,-0.115437894,5.518129286,5.88585897
Somalia,,,0.02393372,3.956593362,4.265950807,4.708556589,4.113129818,4.624900389,6.779276233,6.10400424
South Africa,6.129837703,4.540642277,6.571396422,5.184246648,4.517165228,4.12024587,3.210035975,4.611672178,7.039726613,6.073908532
"South Sudan, Rep. of",1.674299063,52.76633042,379.9995856,187.8516303,83.50152949,87.24136415,29.67584355,10.51671583,-6.687320942,2.382804348
Spain,-0.151114838,-0.50036571,-0.202598,1.956076334,1.674981369,0.699518994,-0.322753017,3.09313512,8.390576341,3.532361335
Sri Lanka,3.179002282,3.768367831,3.958888466,7.704137679,2.135037737,3.528393582,6.153945084,7.014780712,49.72110211,16.54117423
St. Kitts and Nevis,0.247865392,-2.30187563,-0.687037123,0.694916712,-1.037122141,-0.329562064,-1.167245018,1.19568887,2.668175331,3.557112308
St. Lucia,3.516955514,-0.983600953,-3.078217657,0.104262079,1.935618932,0.539087559,-1.755808335,2.410703122,6.378146951,4.070608219
St. Vincent and the Grenadines,0.193858561,-1.73361195,-0.149641648,2.153336488,2.324144854,0.913069725,-0.628131309,1.572729325,5.660097792,4.564577198
Sudan,36.90664279,16.90957061,17.75025383,32.3516261,63.29250735,50.9940515,163.2577824,359.0930408,138.8084602,
Suriname,3.383412727,6.893903592,55.41238798,21.99694302,,,34.88978431,59.11966263,52.44602728,51.58731596
Sweden,-0.179638494,-0.046784745,0.984269245,1.794499047,1.953535301,1.784150974,0.497367319,2.163197364,8.369290989,8.548624897
Switzerland,-0.013202539,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,-0.725874933,0.581814168,2.835027986,2.13540088
Syrian Arab Rep.,10.92711418,38.46114296,47.70516153,18.07526963,0.940983844,13.41756532,,,,
"Tajikistan, Rep. of",6.104427651,5.714559496,6.004580823,,,,,,,
"Tanzania, United Rep. of",6.13161433,5.58816953,5.174766293,5.318716052,3.494458489,3.46428058,3.290290628,3.690919588,4.350272043,3.799232914
Thailand,1.895141819,-0.900424963,0.188149704,0.665631893,1.063897542,0.706728601,-0.845937147,1.230395413,6.077412284,1.228026235
"Timor-Leste, Dem. Rep. of",0.848838206,0.646148614,-1.469842879,0.52297668,2.29424307,0.95881274,0.495499215,3.697920947,7.005309454,8.420351033
Togo,0.190875076,2.585003908,1.285448471,-0.981889869,0.927755426,0.67465277,1.699284633,4.186215065,7.967573616,26478.67973
Tonga,2.510876333,-1.05399832,2.578155152,7.517062836,5.03209692,1.179543348,-0.349737697,5.640511406,10.97136529,6.351129803
Trinidad and Tobago,5.684418146,4.661215981,3.070667425,1.880384402,1.018569302,1.00054293,0.598986331,2.059227469,5.828386385,4.629302424
Tunisia,4.625550995,4.437371273,3.629399374,5.308848396,7.30759176,6.720075329,5.634151159,5.706350208,8.306461244,9.328995975
